Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1484,0,6,15.777768490463714,0.6371249910444021,207.2139160009101,631.0,8.269403017527122,0.0,6,17,24,29,41,58,72,94,180,210,210
GET,/numericalintegral/0/3.14,2846,0,79,94.58188831971684,40.15966600854881,427.9349999851547,795.0678144764582,15.858976406928699,0.0,79,100,120,130,170,210,270,300,390,430,430
,Aggregated,4330,0,52,67.57373270156172,0.6371249910444021,427.9349999851547,738.8376443418014,24.128379424455822,0.0,52,79,95,110,150,180,250,280,380,430,430
