Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,141,0,15000.0,17506.16855909928,6516.431374999229,32816.19170799968,407.0,0.7831865063617793,0.0,15000,17000,18000,22000,28000,30000,32000,33000,33000,33000,33000
GET,/numericalintegral/0/3.14,304,0,16000.0,17269.621314713822,1990.3585409920197,33987.10175001179,557.5230263157895,1.6885723257729144,0.0,16000,17000,18000,19000,29000,32000,33000,33000,34000,34000,34000
,Aggregated,445,0,16000.0,17344.57223933933,1990.3585409920197,33987.10175001179,509.8292134831461,2.4717588321346935,0.0,16000,17000,18000,19000,28000,32000,33000,33000,34000,34000,34000
